Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,7250.000000,7475.000000,7000.000000,7150.000000,6755.768066,13801800
2020-04-02,7150.000000,7225.000000,6925.000000,7225.000000,6826.632813,11148700
2020-04-03,7225.000000,7250.000000,6925.000000,7100.000000,6708.524902,18556300
2020-04-06,7125.000000,7300.000000,7100.000000,7300.000000,6897.498047,8882300
2020-04-07,7350.000000,7600.000000,7050.000000,7275.000000,6873.875488,11884600
2020-04-08,7250.000000,7250.000000,6800.000000,7125.000000,6732.146973,14428900
2020-04-09,7000.000000,7250.000000,6900.000000,7250.000000,6850.254395,8617000
2020-04-13,7250.000000,7250.000000,7050.000000,7100.000000,6708.524902,4282500
2020-04-14,7100.000000,7150.000000,7025.000000,7150.000000,6755.768066,6534300
2020-04-15,7150.000000,7200.000000,6925.000000,6975.000000,6590.416992,11877300
2020-04-16,6975.000000,6975.000000,6600.000000,6650.000000,6283.336914,17260700
2020-04-17,6800.000000,6950.000000,6800.000000,6875.000000,6495.930664,11696600
2020-04-20,6900.000000,7075.000000,6875.000000,7000.000000,6614.038574,13853300
2020-04-21,7000.000000,7075.000000,6850.000000,6925.000000,6543.173828,10394700
2020-04-22,7000.000000,7150.000000,6800.000000,7100.000000,6708.524902,10220900
2020-04-23,7100.000000,7700.000000,7050.000000,7500.000000,7086.470215,26530100
2020-04-24,7400.000000,7700.000000,7350.000000,7500.000000,7086.470215,28075100
2020-04-27,7500.000000,7725.000000,7425.000000,7500.000000,7086.470215,9643200
2020-04-28,7525.000000,7925.000000,7525.000000,7850.000000,7417.171875,21296700
2020-04-29,7900.000000,8025.000000,7650.000000,8000.000000,7558.900879,16761500
2020-04-30,8000.000000,8450.000000,8000.000000,8275.000000,7818.738770,28226900
2020-05-04,8250.000000,8250.000000,7850.000000,7925.000000,7488.036621,17119000
2020-05-05,8000.000000,8300.000000,7975.000000,8300.000000,7842.360352,18737600
2020-05-06,8300.000000,8325.000000,8050.000000,8100.000000,7653.387695,11498100
2020-05-08,8125.000000,8200.000000,7925.000000,8050.000000,7606.144531,11108900
2020-05-11,8050.000000,8250.000000,8050.000000,8075.000000,7629.766602,8239200
2020-05-12,8100.000000,8225.000000,8025.000000,8175.000000,7724.252441,11132700
2020-05-13,8175.000000,8250.000000,8050.000000,8250.000000,7795.117188,9910100
2020-05-14,8225.000000,8300.000000,8125.000000,8300.000000,7842.360352,11861700
2020-05-15,8300.000000,8600.000000,8275.000000,8575.000000,8102.198242,23052700
2020-05-18,8800.000000,8800.000000,8325.000000,8475.000000,8007.710938,13193900
2020-05-19,8425.000000,8575.000000,8250.000000,8250.000000,7795.117188,12088400
2020-05-20,8250.000000,8350.000000,8000.000000,8050.000000,7606.144531,16948600
2020-05-26,8050.000000,8275.000000,8050.000000,8150.000000,7700.630859,27690800
2020-05-27,8000.000000,8250.000000,8000.000000,8200.000000,7747.873535,15919300
2020-05-28,8200.000000,8300.000000,8000.000000,8025.000000,7582.522949,27680500
2020-05-29,8050.000000,8125.000000,7750.000000,7750.000000,7322.685547,90601000
2020-06-02,7850.000000,8200.000000,7800.000000,8100.000000,7653.387695,27780700
2020-06-03,8200.000000,8450.000000,8125.000000,8225.000000,7771.495605,23576100
2020-06-04,8250.000000,8325.000000,8100.000000,8175.000000,7724.252441,16634700
2020-06-05,8175.000000,8200.000000,7975.000000,8050.000000,7606.144531,18066100
2020-06-08,8100.000000,8225.000000,8025.000000,8200.000000,7747.873535,12675400
2020-06-09,8250.000000,8475.000000,8200.000000,8300.000000,7842.360352,26608700
2020-06-10,8475.000000,8475.000000,8150.000000,8200.000000,7747.873535,15919600
2020-06-11,8200.000000,8300.000000,8100.000000,8200.000000,7747.873535,19429200
2020-06-12,8200.000000,8200.000000,8000.000000,8200.000000,7747.873535,10835600
2020-06-15,8200.000000,8300.000000,8175.000000,8275.000000,7818.738770,14159100
2020-06-16,8325.000000,8400.000000,8250.000000,8275.000000,7818.738770,12197800
2020-06-17,8275.000000,8325.000000,8150.000000,8275.000000,7818.738770,10800100
2020-06-18,8225.000000,8225.000000,8050.000000,8050.000000,7606.144531,15200400
2020-06-19,8100.000000,8150.000000,8050.000000,8050.000000,7606.144531,12756000
2020-06-22,8150.000000,8150.000000,8025.000000,8050.000000,7606.144531,11487400
2020-06-23,8050.000000,8100.000000,8000.000000,8000.000000,7558.900879,5947400
2020-06-24,8050.000000,8125.000000,8000.000000,8075.000000,7629.766602,10739900
2020-06-25,8050.000000,8100.000000,7900.000000,7900.000000,7464.415039,13066500
2020-06-26,8025.000000,8025.000000,7825.000000,7900.000000,7464.415039,15566700
2020-06-29,7925.000000,7950.000000,7800.000000,7925.000000,7488.036621,11377500
2020-06-30,7925.000000,8000.000000,7850.000000,7900.000000,7464.415039,10394200
2020-07-01,7925.000000,7950.000000,7750.000000,7800.000000,7369.928223,10729600
2020-07-02,7800.000000,8050.000000,7800.000000,8050.000000,7606.144531,15082500
2020-07-03,8000.000000,8075.000000,7900.000000,7900.000000,7464.415039,8394200
2020-07-06,7950.000000,8000.000000,7875.000000,7900.000000,7464.415039,17782600
2020-07-07,7925.000000,8000.000000,7850.000000,7925.000000,7488.036621,14181500
2020-07-08,7925.000000,8150.000000,7900.000000,8100.000000,7653.387695,19068800
2020-07-09,8100.000000,8175.000000,7975.000000,7975.000000,7535.279785,12857400
2020-07-10,7950.000000,8000.000000,7925.000000,7925.000000,7488.036621,9371900
2020-07-13,7950.000000,8050.000000,7925.000000,8025.000000,7582.522949,7824700
2020-07-14,8025.000000,8100.000000,8000.000000,8075.000000,7629.766602,6440700
2020-07-15,8100.000000,8125.000000,8050.000000,8050.000000,7606.144531,10766900
2020-07-16,8050.000000,8150.000000,8050.000000,8100.000000,7653.387695,10655000
2020-07-17,8100.000000,8125.000000,7900.000000,8125.000000,7677.009277,5335500
2020-07-20,8125.000000,8150.000000,8025.000000,8125.000000,7677.009277,9056400
2020-07-21,8125.000000,8125.000000,8000.000000,8000.000000,7558.900879,12476400
2020-07-22,8100.000000,8200.000000,8000.000000,8000.000000,7558.900879,10728700
2020-07-23,8025.000000,8075.000000,7975.000000,8050.000000,7606.144531,18413300
2020-07-24,8075.000000,8100.000000,8000.000000,8050.000000,7606.144531,12211100
2020-07-27,8100.000000,8100.000000,8000.000000,8075.000000,7629.766602,6391600
2020-07-28,8075.000000,8150.000000,8075.000000,8150.000000,7700.630859,16665100
2020-07-29,8150.000000,8300.000000,8125.000000,8250.000000,7795.117188,18793500
2020-07-30,8250.000000,8400.000000,8200.000000,8400.000000,7936.846680,19708600
2020-08-03,8400.000000,8450.000000,8100.000000,8250.000000,7795.117188,19125400
2020-08-04,8350.000000,8350.000000,8150.000000,8225.000000,7771.495605,13251900
2020-08-05,8225.000000,8250.000000,8100.000000,8250.000000,7897.861328,10465900
2020-08-06,8275.000000,8300.000000,8150.000000,8175.000000,7826.062500,12406300
2020-08-07,8175.000000,8225.000000,8075.000000,8125.000000,7778.196777,8987900
2020-08-10,8125.000000,8200.000000,8100.000000,8100.000000,7754.264160,7982000
2020-08-11,8125.000000,8150.000000,8050.000000,8050.000000,7706.397949,16657800
2020-08-12,8075.000000,8125.000000,8025.000000,8050.000000,7706.397949,11451200
2020-08-13,8075.000000,8175.000000,8050.000000,8175.000000,7826.062500,11271500
2020-08-14,8175.000000,8250.000000,8150.000000,8200.000000,7849.995117,13065900
2020-08-18,8225.000000,8250.000000,8175.000000,8225.000000,7873.928711,12267900
2020-08-19,8225.000000,8275.000000,8200.000000,8200.000000,7849.995117,9945900
2020-08-24,8225.000000,8275.000000,8175.000000,8175.000000,7826.062500,8029000
2020-08-25,8175.000000,8250.000000,8175.000000,8200.000000,7849.995117,11597200
2020-08-26,8200.000000,8250.000000,8200.000000,8200.000000,7849.995117,14121900
2020-08-27,8200.000000,8250.000000,8175.000000,8250.000000,7897.861328,11343100
2020-08-28,8250.000000,8275.000000,8200.000000,8250.000000,7897.861328,13210800
2020-08-31,8275.000000,8275.000000,8150.000000,8225.000000,7873.928711,17339800
2020-09-01,8350.000000,8350.000000,8150.000000,8225.000000,7873.928711,15367200
2020-09-02,8300.000000,8300.000000,8125.000000,8150.000000,7802.129883,17081900
2020-09-03,8150.000000,8225.000000,8150.000000,8175.000000,7826.062500,9683100
2020-09-04,8200.000000,8400.000000,8125.000000,8400.000000,8041.458984,14782100
2020-09-07,8400.000000,8400.000000,8250.000000,8375.000000,8017.525879,14396400
2020-09-08,8375.000000,8375.000000,8325.000000,8375.000000,8017.525879,5156800
2020-09-09,8225.000000,8325.000000,8225.000000,8250.000000,7897.861328,11364100
